年度,石油,石炭,天然ガス,原子力,水力,新エネルギー・地熱等
1965,3.56,1.87,0.08,0.0,0.75,0.11
1966,4.13,1.92,0.09,0.01,0.77,0.11
1967,5.11,2.29,0.09,0.01,0.67,0.11
1968,5.95,2.42,0.1,0.01,0.72,0.12
1969,7.19,2.59,0.12,0.01,0.73,0.13
1970,8.68,2.64,0.17,0.04,0.75,0.14
1971,9.12,2.31,0.17,0.08,0.8,0.14
1972,10.05,2.3,0.17,0.09,0.82,0.15
1973,11.32,2.53,0.24,0.09,0.66,0.16
1974,10.7,2.67,0.32,0.19,0.79,0.15
1975,10.3,2.5,0.39,0.24,0.81,0.15
1976,11.0,2.45,0.44,0.32,0.82,0.16
1977,11.24,2.28,0.58,0.3,0.71,0.16
1978,11.38,2.07,0.75,0.56,0.69,0.16
1979,11.34,2.3,0.9,0.66,0.79,0.18
1980,10.3,2.8,1.01,0.78,0.86,0.18
1981,9.63,2.91,1.02,0.83,0.84,0.18
1982,9.33,2.78,1.06,0.96,0.78,0.19
1983,9.62,2.83,1.21,1.08,0.81,0.2
1984,9.35,3.09,1.55,1.26,0.69,0.22
1985,9.12,3.22,1.6,1.5,0.8,0.22
1986,9.16,2.93,1.66,1.59,0.78,0.23
1987,9.63,3.07,1.71,1.77,0.72,0.24
1988,10.2,3.3,1.78,1.68,0.87,0.25
1989,10.65,3.29,1.93,1.72,0.88,0.26
1990,11.0,3.31,2.1,1.89,0.83,0.52
1991,11.15,3.39,2.25,1.99,0.91,0.53
1992,11.39,3.3,2.28,2.08,0.77,0.53
1993,11.11,3.31,2.33,2.32,0.89,0.52
1994,11.73,3.52,2.46,2.5,0.62,0.53
1995,11.8,3.64,2.54,2.7,0.76,0.56
1996,11.76,3.73,2.68,2.78,0.74,0.58
1997,11.48,3.85,2.79,2.91,0.82,0.6
1998,11.15,3.62,2.85,3.01,0.84,0.59
1999,11.33,3.85,3.01,2.84,0.77,0.61
2000,11.16,4.2,3.13,2.87,0.78,0.62
2001,10.82,4.29,3.13,2.84,0.75,0.6
2002,10.89,4.44,3.22,2.59,0.72,0.61
2003,10.84,4.57,3.37,2.11,0.83,0.63
2004,10.59,5.0,3.36,2.49,0.83,0.62
2005,10.57,4.76,3.39,2.68,0.67,0.68
2006,10.18,4.82,3.75,2.66,0.77,0.7
2007,10.21,5.04,4.09,2.32,0.65,0.72
2008,9.33,4.92,4.02,2.25,0.67,0.67
2009,8.8,4.38,3.98,2.41,0.66,0.65
2010,8.83,4.98,4.23,2.49,0.71,0.79
2011,9.12,4.65,4.93,0.89,0.72,0.84
2012,9.22,4.86,5.1,0.14,0.66,0.84